Event Time,datetime,Heart Rate,flag
1.64606067513e+12,2022-02-28 16:04:35.126000,67,0
1.64606067537e+12,2022-02-28 16:04:35.372000,67,0
1.64606067562e+12,2022-02-28 16:04:35.618000,67,0
1.64606067587e+12,2022-02-28 16:04:35.865000,66,0
1.64606067611e+12,2022-02-28 16:04:36.110000,66,0
1.64606067636e+12,2022-02-28 16:04:36.356000,66,0
1.6460606766e+12,2022-02-28 16:04:36.603000,65,0
1.64606067685e+12,2022-02-28 16:04:36.849000,65,0
1.6460606771e+12,2022-02-28 16:04:37.096000,65,0
1.64606067734e+12,2022-02-28 16:04:37.343000,65,0
1.64606067759e+12,2022-02-28 16:04:37.590000,65,0
1.64606067784e+12,2022-02-28 16:04:37.836000,65,0
1.64606067808e+12,2022-02-28 16:04:38.080000,65,0
1.64606067833e+12,2022-02-28 16:04:38.326000,65,0
1.64606067857e+12,2022-02-28 16:04:38.574000,66,0
1.64606067882e+12,2022-02-28 16:04:38.820000,66,0
1.64606067907e+12,2022-02-28 16:04:39.066000,66,0
1.64606067931e+12,2022-02-28 16:04:39.312000,67,0
1.64606067956e+12,2022-02-28 16:04:39.558000,67,0
1.6460606798e+12,2022-02-28 16:04:39.804000,67,0
1.64606068005e+12,2022-02-28 16:04:40.051000,67,0
1.6460606803e+12,2022-02-28 16:04:40.296000,68,0
1.64606068054e+12,2022-02-28 16:04:40.543000,68,0
1.64606068079e+12,2022-02-28 16:04:40.789000,68,0
1.64606068104e+12,2022-02-28 16:04:41.035000,68,0
1.64606068128e+12,2022-02-28 16:04:41.282000,66,0
1.64606068153e+12,2022-02-28 16:04:41.528000,66,0
1.64606068178e+12,2022-02-28 16:04:41.774000,66,0
1.64606068202e+12,2022-02-28 16:04:42.021000,65,0
1.64606068227e+12,2022-02-28 16:04:42.267000,65,0
1.64606068251e+12,2022-02-28 16:04:42.513000,65,0
1.64606068276e+12,2022-02-28 16:04:42.760000,65,0
1.64606068301e+12,2022-02-28 16:04:43.006000,65,0
1.64606068325e+12,2022-02-28 16:04:43.252000,64,0
1.6460606835e+12,2022-02-28 16:04:43.498000,64,0
1.64606068375e+12,2022-02-28 16:04:43.744000,64,0
1.64606068399e+12,2022-02-28 16:04:43.991000,64,0
1.64606068424e+12,2022-02-28 16:04:44.237000,64,0
1.64606068448e+12,2022-02-28 16:04:44.483000,64,0
1.64606068473e+12,2022-02-28 16:04:44.730000,64,0
1.64606068498e+12,2022-02-28 16:04:44.976000,64,0
1.64606068522e+12,2022-02-28 16:04:45.222000,64,0
1.64606068547e+12,2022-02-28 16:04:45.469000,64,0
1.64606068572e+12,2022-02-28 16:04:45.715000,64,0
1.64606068596e+12,2022-02-28 16:04:45.961000,65,0
1.64606068621e+12,2022-02-28 16:04:46.208000,65,0
1.64606068645e+12,2022-02-28 16:04:46.453000,65,0
1.6460606867e+12,2022-02-28 16:04:46.699000,66,0
1.64606068695e+12,2022-02-28 16:04:46.946000,66,0
1.64606068719e+12,2022-02-28 16:04:47.192000,66,0
1.64606068744e+12,2022-02-28 16:04:47.438000,66,0
1.64606068769e+12,2022-02-28 16:04:47.685000,68,0
1.64606068793e+12,2022-02-28 16:04:47.931000,68,0
1.64606068818e+12,2022-02-28 16:04:48.177000,68,0
1.64606068842e+12,2022-02-28 16:04:48.424000,69,0
1.64606068867e+12,2022-02-28 16:04:48.670000,69,0
1.64606068892e+12,2022-02-28 16:04:48.916000,69,0
1.64606068916e+12,2022-02-28 16:04:49.163000,69,0
1.64606068941e+12,2022-02-28 16:04:49.409000,67,0
1.64606068966e+12,2022-02-28 16:04:49.655000,67,0
1.6460606899e+12,2022-02-28 16:04:49.901000,67,0
1.64606069015e+12,2022-02-28 16:04:50.147000,67,0
1.64606069039e+12,2022-02-28 16:04:50.393000,65,0
1.64606069064e+12,2022-02-28 16:04:50.640000,65,0
1.64606069089e+12,2022-02-28 16:04:50.886000,65,0
1.64606069113e+12,2022-02-28 16:04:51.132000,65,0
1.64606069138e+12,2022-02-28 16:04:51.379000,64,0
1.64606069163e+12,2022-02-28 16:04:51.625000,64,0
1.64606069187e+12,2022-02-28 16:04:51.871000,64,0
1.64606069212e+12,2022-02-28 16:04:52.118000,64,0
1.64606069237e+12,2022-02-28 16:04:52.364000,63,0
1.64606069261e+12,2022-02-28 16:04:52.610000,63,0
1.64606069286e+12,2022-02-28 16:04:52.857000,63,0
1.64606069335e+12,2022-02-28 16:04:53.349000,63,0
1.6460606936e+12,2022-02-28 16:04:53.595000,63,0
1.64606069384e+12,2022-02-28 16:04:53.842000,63,0
1.64606069409e+12,2022-02-28 16:04:54.088000,65,0
1.64606069433e+12,2022-02-28 16:04:54.334000,65,0
1.64606069458e+12,2022-02-28 16:04:54.581000,65,0
1.64606069483e+12,2022-02-28 16:04:54.826000,67,0
1.64606069507e+12,2022-02-28 16:04:55.073000,67,0
1.64606069532e+12,2022-02-28 16:04:55.319000,67,0
1.64606069557e+12,2022-02-28 16:04:55.565000,67,0
1.64606069581e+12,2022-02-28 16:04:55.812000,68,0
1.64606069606e+12,2022-02-28 16:04:56.058000,68,0
1.64606069631e+12,2022-02-28 16:04:56.304000,68,0
1.64606069655e+12,2022-02-28 16:04:56.551000,68,0
1.6460606968e+12,2022-02-28 16:04:56.797000,67,0
1.64606069704e+12,2022-02-28 16:04:57.043000,67,0
1.64606069729e+12,2022-02-28 16:04:57.290000,67,0
1.64606069754e+12,2022-02-28 16:04:57.536000,66,0
1.64606069778e+12,2022-02-28 16:04:57.783000,66,0
1.64606069803e+12,2022-02-28 16:04:58.028000,66,0
1.64606069828e+12,2022-02-28 16:04:58.274000,66,0
1.64606069852e+12,2022-02-28 16:04:58.521000,65,0
1.64606069877e+12,2022-02-28 16:04:58.767000,65,0
1.64606069901e+12,2022-02-28 16:04:59.013000,65,0
1.64606069926e+12,2022-02-28 16:04:59.260000,65,0
1.64606069951e+12,2022-02-28 16:04:59.506000,65,0
1.64606069975e+12,2022-02-28 16:04:59.752000,65,0
1.6460607e+12,2022-02-28 16:04:59.999000,65,0
1.64606070025e+12,2022-02-28 16:05:00.244000,65,0
1.64606070049e+12,2022-02-28 16:05:00.490000,65,0
1.64606070074e+12,2022-02-28 16:05:00.738000,65,0
1.64606070098e+12,2022-02-28 16:05:00.983000,65,0
1.64606070123e+12,2022-02-28 16:05:01.229000,67,0
1.64606070148e+12,2022-02-28 16:05:01.476000,67,0
1.64606070172e+12,2022-02-28 16:05:01.722000,67,0
1.64606070197e+12,2022-02-28 16:05:01.968000,67,0
