Event Time,datetime,Heart Rate,flag
1.64622965947e+12,2022-03-02 15:00:59.472000,85,0
1.64622965972e+12,2022-03-02 15:00:59.717000,85,0
1.64622965997e+12,2022-03-02 15:00:59.965000,85,0
1.64622966021e+12,2022-03-02 15:01:00.210000,85,0
1.64622966046e+12,2022-03-02 15:01:00.456000,85,0
1.6462296607e+12,2022-03-02 15:01:00.702000,85,0
1.64622966096e+12,2022-03-02 15:01:00.955000,85,0
1.6462296612e+12,2022-03-02 15:01:01.195000,83,0
1.64622966169e+12,2022-03-02 15:01:01.687000,83,0
1.64622966194e+12,2022-03-02 15:01:01.936000,83,0
1.64622966218e+12,2022-03-02 15:01:02.179000,81,0
1.64622966243e+12,2022-03-02 15:01:02.426000,81,0
1.64622966267e+12,2022-03-02 15:01:02.673000,81,0
1.64622966292e+12,2022-03-02 15:01:02.920000,81,0
1.64622966317e+12,2022-03-02 15:01:03.165000,80,0
1.64622966341e+12,2022-03-02 15:01:03.412000,80,0
1.64622966366e+12,2022-03-02 15:01:03.657000,80,0
1.6462296639e+12,2022-03-02 15:01:03.903000,79,0
1.64622966415e+12,2022-03-02 15:01:04.150000,79,0
1.6462296644e+12,2022-03-02 15:01:04.396000,79,0
1.64622966464e+12,2022-03-02 15:01:04.642000,79,0
1.64622966489e+12,2022-03-02 15:01:04.889000,77,0
1.64622966514e+12,2022-03-02 15:01:05.135000,77,0
1.64622966538e+12,2022-03-02 15:01:05.382000,77,0
1.64622966563e+12,2022-03-02 15:01:05.628000,77,0
1.64622966588e+12,2022-03-02 15:01:05.874000,75,0
1.64622966612e+12,2022-03-02 15:01:06.120000,75,0
1.64622966637e+12,2022-03-02 15:01:06.366000,75,0
1.64622966661e+12,2022-03-02 15:01:06.612000,75,0
1.64622966686e+12,2022-03-02 15:01:06.859000,74,0
1.64622966711e+12,2022-03-02 15:01:07.105000,74,0
1.64622966735e+12,2022-03-02 15:01:07.351000,74,0
1.6462296676e+12,2022-03-02 15:01:07.598000,73,0
