Event Time,datetime,Heart Rate,flag
1.64621192824e+12,2022-03-02 10:05:28.244000,79,0
1.64621192849e+12,2022-03-02 10:05:28.489000,79,0
1.64621192874e+12,2022-03-02 10:05:28.736000,77,0
1.64621192898e+12,2022-03-02 10:05:28.981000,77,0
1.64621192923e+12,2022-03-02 10:05:29.227000,77,0
1.64621192947e+12,2022-03-02 10:05:29.474000,77,0
1.64621192972e+12,2022-03-02 10:05:29.720000,76,0
1.64621192997e+12,2022-03-02 10:05:29.968000,76,0
1.64621193021e+12,2022-03-02 10:05:30.213000,76,0
1.64621193046e+12,2022-03-02 10:05:30.458000,74,0
1.64621193071e+12,2022-03-02 10:05:30.707000,74,0
1.64621193095e+12,2022-03-02 10:05:30.951000,74,0
1.6462119312e+12,2022-03-02 10:05:31.198000,74,0
1.64621193144e+12,2022-03-02 10:05:31.443000,74,0
1.64621193169e+12,2022-03-02 10:05:31.690000,74,0
1.64621193218e+12,2022-03-02 10:05:32.182000,75,0
1.64621193243e+12,2022-03-02 10:05:32.429000,75,0
1.64621193268e+12,2022-03-02 10:05:32.675000,78,0
1.64621193292e+12,2022-03-02 10:05:32.922000,78,0
1.64621193317e+12,2022-03-02 10:05:33.168000,78,0
1.64621193342e+12,2022-03-02 10:05:33.414000,80,0
1.64621193366e+12,2022-03-02 10:05:33.660000,80,0
1.64621193391e+12,2022-03-02 10:05:33.906000,80,0
1.64621193415e+12,2022-03-02 10:05:34.152000,79,0
1.6462119344e+12,2022-03-02 10:05:34.399000,79,0
1.64621193465e+12,2022-03-02 10:05:34.645000,79,0
1.64621193489e+12,2022-03-02 10:05:34.891000,79,0
1.64621193514e+12,2022-03-02 10:05:35.138000,76,0
1.64621193539e+12,2022-03-02 10:05:35.384000,76,0
1.64621193563e+12,2022-03-02 10:05:35.630000,76,0
1.64621193588e+12,2022-03-02 10:05:35.877000,76,0
1.64621193612e+12,2022-03-02 10:05:36.122000,72,0
1.64621193637e+12,2022-03-02 10:05:36.369000,72,0
1.64621193662e+12,2022-03-02 10:05:36.615000,72,0
1.64621193686e+12,2022-03-02 10:05:36.861000,70,0
1.64621193711e+12,2022-03-02 10:05:37.108000,70,0
1.64621193735e+12,2022-03-02 10:05:37.354000,70,0
1.6462119376e+12,2022-03-02 10:05:37.600000,70,0
1.64621193785e+12,2022-03-02 10:05:37.847000,69,0
1.64621193809e+12,2022-03-02 10:05:38.093000,69,0
1.64621193834e+12,2022-03-02 10:05:38.339000,69,0
1.64621193859e+12,2022-03-02 10:05:38.586000,69,0
1.64621193883e+12,2022-03-02 10:05:38.831000,69,0
1.64621193908e+12,2022-03-02 10:05:39.078000,69,0
1.64621193933e+12,2022-03-02 10:05:39.325000,69,0
1.64621193957e+12,2022-03-02 10:05:39.570000,70,0
1.64621193982e+12,2022-03-02 10:05:39.816000,70,0
1.64621194006e+12,2022-03-02 10:05:40.063000,70,0
1.64621194031e+12,2022-03-02 10:05:40.310000,72,0
1.64621194056e+12,2022-03-02 10:05:40.556000,72,0
1.6462119408e+12,2022-03-02 10:05:40.802000,72,0
1.64621194105e+12,2022-03-02 10:05:41.048000,74,0
1.6462119413e+12,2022-03-02 10:05:41.294000,74,0
1.64621194154e+12,2022-03-02 10:05:41.541000,74,0
1.64621194179e+12,2022-03-02 10:05:41.786000,75,0
1.64621194203e+12,2022-03-02 10:05:42.034000,75,0
1.64621194228e+12,2022-03-02 10:05:42.280000,75,0
1.64621194253e+12,2022-03-02 10:05:42.526000,77,0
1.64621194277e+12,2022-03-02 10:05:42.772000,77,0
